fetched_at,SETTLEMENTDATE,REGIONID,PRICE,PRICE_STATUS,APCFLAG,MARKETSUSPENDEDFLAG,TOTALDEMAND,SCHEDULEDGENERATION,SEMISCHEDULEDGENERATION,NETINTERCHANGE
2026-08-21T05:09:14.343Z,2026-08-21T15:10:00,TAS1,45.09,,,,987.71,582.28597,305.42403,-100
2026-08-21T05:09:14.343Z,2026-08-21T15:10:00,VIC1,47.13307,,,,5572.71,4308.31686,1880.47314,629.75
2026-08-21T05:14:14.368Z,2026-08-21T15:15:00,NSW1,37.9784,,,,8211.12,4640.98142,1861.88858,-1628.6
2026-08-21T05:14:14.368Z,2026-08-21T15:15:00,QLD1,24.99,,,,5050.72,3668.83402,2701.55598,1406.55
2026-08-21T05:14:14.368Z,2026-08-21T15:15:00,SA1,32.9227,,,,898.49,244.99977,611.27023,-43.06
2026-08-21T05:14:14.368Z,2026-08-21T15:15:00,TAS1,25.25837,,,,993.19,607.00312,316.92688,-69.26
2026-08-21T05:14:14.368Z,2026-08-21T15:15:00,VIC1,34,,,,5598.18,4237.81544,1860.42456,517.01
2026-08-21T05:19:14.386Z,2026-08-21T15:20:00,NSW1,36.70568,,,,8102.04,4716.72844,1827.68156,-1480.12
2026-08-21T05:19:14.386Z,2026-08-21T15:20:00,QLD1,-1.92,,,,5037.85,3640.68122,2728.98878,1424.08
2026-08-21T05:19:14.386Z,2026-08-21T15:20:00,SA1,36.42063,,,,987.83,245.00368,549.30632,-194.79
2026-08-21T05:19:14.386Z,2026-08-21T15:20:00,TAS1,24.77193,,,,987.52,606.99641,329.16359,-51.35
2026-08-21T05:19:14.386Z,2026-08-21T15:20:00,VIC1,34,,,,5546.18,4235.27826,1781.57174,477.24
2026-08-21T05:24:14.394Z,2026-08-21T15:25:00,NSW1,37.0601,,,,8170.34,4782.39335,1847.27665,-1463.32
2026-08-21T05:24:14.394Z,2026-08-21T15:25:00,QLD1,0.00003,,,,5042.24,3616.54146,2792.35854,1459.78
2026-08-21T05:24:14.394Z,2026-08-21T15:25:00,SA1,41.07148,,,,1009.22,245.00463,504.19537,-258.4
2026-08-21T05:24:14.394Z,2026-08-21T15:25:00,TAS1,15.5658,,,,997.42,601.19979,323.69021,-72.53
2026-08-21T05:24:14.394Z,2026-08-21T15:25:00,VIC1,34.65421,,,,5489.02,4229.65583,1765.92417,513.35
2026-08-21T05:29:14.457Z,2026-08-21T15:30:00,NSW1,36.35248,,,,8074.9,4813.26592,1752.02408,-1433.35
2026-08-21T05:29:14.457Z,2026-08-21T15:30:00,QLD1,28.57168,,,,5013.68,3670.81356,2706.80644,1456.66
2026-08-21T05:29:14.457Z,2026-08-21T15:30:00,SA1,37.03874,,,,987.97,245.00019,533.07981,-210.95
2026-08-21T05:29:14.457Z,2026-08-21T15:30:00,TAS1,25.90169,,,,999.64,607.0034,324.6566,-67.99
2026-08-21T05:29:14.457Z,2026-08-21T15:30:00,VIC1,34,,,,5636.84,4232.19212,1828.19788,426.34
2026-08-21T05:34:14.689Z,2026-08-21T15:35:00,NSW1,50.48487,,,,8146.85,4977.15339,1637.65661,-1458.26
2026-08-21T05:34:14.689Z,2026-08-21T15:35:00,QLD1,39.75,,,,5173.43,3738.55595,2775.92405,1429.18
2026-08-21T05:34:14.689Z,2026-08-21T15:35:00,SA1,52.25367,,,,980.97,244.99973,527.29027,-209.37
2026-08-21T05:34:14.689Z,2026-08-21T15:35:00,TAS1,46.26286,,,,1006.23,678.51377,325.21623,-2.5
2026-08-21T05:34:14.689Z,2026-08-21T15:35:00,VIC1,47.16587,,,,5699.99,4295.8745,1806.2955,408.16
2026-08-21T05:39:14.404Z,2026-08-21T15:40:00,NSW1,66.53,,,,8102.86,5127.79793,1599.14207,-1322.18
2026-08-21T05:39:14.404Z,2026-08-21T15:40:00,QLD1,54.73004,,,,5269.45,3906.14015,2483.30985,1180.46
2026-08-21T05:39:14.404Z,2026-08-21T15:40:00,SA1,67.44,,,,941.3,247.09577,474.99423,-220.19
2026-08-21T05:39:14.404Z,2026-08-21T15:40:00,TAS1,59.72294,,,,1012.84,704.07215,324.14785,15.38
2026-08-21T05:39:14.404Z,2026-08-21T15:40:00,VIC1,61.24991,,,,5578.19,4352.37941,1685.55059,468.99
2026-08-21T05:44:14.453Z,2026-08-21T15:45:00,NSW1,53.37854,,,,7892.12,5218.63056,1582.09944,-1056.42
2026-08-21T05:44:14.453Z,2026-08-21T15:45:00,QLD1,45.46392,,,,5360.44,3887.23851,2395.42149,962.2
2026-08-21T05:44:14.453Z,2026-08-21T15:45:00,SA1,58.27844,,,,991.86,244.9998,483.8802,-261.9
2026-08-21T05:44:14.453Z,2026-08-21T15:45:00,TAS1,48.90442,,,,1025.21,703.98248,325.31752,4.09
2026-08-21T05:44:14.453Z,2026-08-21T15:45:00,VIC1,50.01,,,,5664.78,4375.09832,1717.74168,434.93
2026-08-21T05:49:14.472Z,2026-08-21T15:50:00,NSW1,61.39055,,,,7974.1,5350.39119,1623.28881,-971.5
2026-08-21T05:49:14.472Z,2026-08-21T15:50:00,QLD1,53.00141,,,,5452.62,3975.70109,2318.67891,874.41
2026-08-21T05:49:14.472Z,2026-08-21T15:50:00,SA1,63.76233,,,,1008.37,245.0037,532.2763,-231.83
2026-08-21T05:49:14.472Z,2026-08-21T15:50:00,TAS1,56.44194,,,,1023.89,697.56461,323.80539,-2.52
2026-08-21T05:49:14.472Z,2026-08-21T15:50:00,VIC1,57.55396,,,,5662.77,4417.40755,1637.64245,396.62
2026-08-21T05:54:14.468Z,2026-08-21T15:55:00,NSW1,47.6597,,,,7994.95,5399.78487,1700.04513,-873.62
